id,probability,actual
153,4.128269210923463e-05,0.0
153,3.530005778884515e-05,0.0
153,0.999976396560669,1.0
153,5.544846135308035e-05,0.0
153,3.331437619635835e-05,0.0
153,0.9999762773513794,1.0
153,4.6302226110128686e-05,0.0
153,3.314088826300576e-05,0.0
153,0.9999761581420898,1.0
153,4.138134318054654e-05,0.0
153,3.396118336240761e-05,0.0
153,0.9999755620956421,1.0
153,7.451045530615374e-05,0.0
153,3.676561755128205e-05,0.0
153,0.9999781847000122,1.0
153,4.132747199037112e-05,0.0
153,3.482113970676437e-05,0.0
153,0.9999768733978271,1.0
153,4.4966229324927554e-05,0.0
153,3.691168603836559e-05,0.0
153,0.999977707862854,1.0
153,5.553439768846147e-05,0.0
153,3.7080750189488754e-05,0.0
153,0.9999773502349854,1.0
153,0.9998733997344971,1.0
153,0.002757737413048744,0.0
153,0.0003367942990735173,0.0
153,3.9068941987352446e-05,0.0
153,3.56335767719429e-05,0.0
153,0.9999758005142212,1.0
153,3.770556941162795e-05,0.0
153,3.3956650440813974e-05,0.0
153,0.9999759197235107,1.0
153,4.0143393562175333e-05,0.0
153,3.5861809010384604e-05,0.0
153,0.999976634979248,1.0
1130,4.024404552183114e-05,0.0
1130,3.7903777410974726e-05,0.0
1130,0.9999761581420898,1.0
1130,0.9998369216918945,1.0
1130,0.0024500987492501736,0.0
1130,0.00023204255558084697,0.0
1130,8.008845907170326e-05,0.0
1130,4.245852687745355e-05,0.0
1130,0.999976396560669,1.0
1130,4.8106401663972065e-05,0.0
1130,3.672594539239071e-05,0.0
1130,0.9999769926071167,1.0
1130,5.872690962860361e-05,0.0
1130,4.000313856522553e-05,0.0
1130,0.9999772310256958,1.0
1130,4.098284989595413e-05,0.0
1130,3.80058481823653e-05,0.0
1130,0.999976396560669,1.0
1130,4.487164915190078e-05,0.0
1130,3.8999969547148794e-05,0.0
1130,0.9999773502349854,1.0
1130,5.6385226343991235e-05,0.0
1130,4.1160987166222185e-05,0.0
1130,0.9999773502349854,1.0
1130,0.9998462200164795,1.0
1130,0.003239282639697194,0.0
1130,0.00022453088604379445,0.0
1130,4.1871149733196944e-05,0.0
1130,3.840025601675734e-05,0.0
1130,0.9999759197235107,1.0
1130,3.914875560440123e-05,0.0
1130,3.519676101859659e-05,0.0
1130,0.9999762773513794,1.0
1130,4.2517600377323106e-05,0.0
1130,3.87713844247628e-05,0.0
1130,0.9999760389328003,1.0
1271,5.503912689164281e-05,0.0
1271,4.3922289478359744e-05,0.0
1271,0.9999771118164062,1.0
1271,0.6314013600349426,0.0
1271,0.9798888564109802,1.0
1271,0.023004094138741493,0.0
1271,6.586633389815688e-05,0.0
1271,5.6551409215899184e-05,0.0
1271,0.9999761581420898,1.0
1271,7.934099267004058e-05,0.0
1271,7.518092752434313e-05,0.0
1271,0.9999773502349854,1.0
1271,9.442857117392123e-05,0.0
1271,8.230135426856577e-05,0.0
1271,0.9999774694442749,1.0
1271,8.251557301264256e-05,0.0
1271,7.239276601467282e-05,0.0
1271,0.9999772310256958,1.0
1271,0.9732440114021301,1.0
1271,0.2603553235530853,0.0
1271,0.005411758553236723,0.0
1271,0.00011794675083365291,0.0
1271,0.00011508581519592553,0.0
1271,0.9999773502349854,1.0
1271,8.432733739027753e-05,0.0
1271,8.160346624208614e-05,0.0
1271,0.9999785423278809,1.0
1271,6.49157736916095e-05,0.0
1271,3.949641541112214e-05,0.0
1271,0.9999765157699585,1.0
1271,4.678771801991388e-05,0.0
1271,3.5243210732005537e-05,0.0
1271,0.9999762773513794,1.0
1271,7.246922177728266e-05,0.0
1271,9.735072671901435e-05,0.0
1271,0.9999778270721436,1.0
1089,0.0001136598366429098,0.0
1089,0.00013297723489813507,0.0
1089,0.9999761581420898,1.0
