id,predicted,actual
153,2,2
153,2,2
153,2,2
153,2,2
153,2,2
153,2,2
153,2,2
153,2,2
153,0,0
153,2,2
153,2,2
153,2,2
1130,2,2
1130,0,0
1130,2,2
1130,2,2
1130,2,2
1130,2,2
1130,2,2
1130,2,2
1130,0,0
1130,2,2
1130,2,2
1130,2,2
1271,2,2
1271,1,1
1271,2,2
1271,2,2
1271,2,2
1271,2,2
1271,1,0
1271,2,2
1271,2,2
1271,2,2
1271,2,2
1271,2,2
1089,2,2
1089,1,1
1089,2,2
1089,2,2
1089,2,2
1089,2,2
1089,2,2
1089,2,2
1089,2,2
1089,2,2
1089,2,2
1089,2,2
731,2,2
731,2,2
731,2,2
731,2,2
731,2,2
731,2,2
731,2,2
731,2,2
731,2,2
731,2,2
731,0,2
731,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
751,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
705,2,2
316,2,2
316,2,2
316,2,2
316,2,0
316,2,2
316,2,2
316,2,2
316,2,2
316,2,2
316,2,2
316,2,2
316,2,2
494,2,2
494,2,2
494,2,2
494,2,2
494,2,2
494,2,2
494,0,0
494,2,2
494,2,2
494,2,2
494,2,2
494,2,2
207,2,2
207,2,2
207,2,2
207,2,2
207,2,2
207,2,2
207,2,2
207,2,2
207,1,1
207,2,2
207,2,2
207,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
559,2,2
1485,2,2
1485,0,0
1485,2,2
1485,2,2
1485,2,2
1485,2,2
1485,2,2
1485,2,2
1485,2,2
1485,2,2
1485,2,2
1485,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
1227,2,2
270,2,2
270,0,2
270,2,2
270,0,0
270,2,2
270,2,2
270,2,2
270,2,2
270,2,2
270,2,2
270,2,2
270,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
1112,2,2
374,2,2
374,1,1
374,2,2
374,2,2
374,2,2
374,2,2
374,2,2
374,2,2
374,2,2
374,2,2
374,2,2
374,2,2
1428,2,2
1428,1,1
1428,2,2
1428,2,2
1428,2,2
1428,2,2
1428,2,2
1428,2,2
1428,2,2
1428,2,2
1428,2,2
1428,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
394,2,2
539,2,2
539,0,0
539,2,2
539,2,2
539,2,2
539,2,2
539,2,2
539,2,2
539,0,0
539,2,2
539,2,2
539,2,2
244,2,2
244,0,0
244,2,2
244,2,2
244,2,2
244,2,2
244,2,2
244,2,2
244,2,2
244,2,2
244,2,2
244,2,2
1161,2,2
1161,0,0
1161,2,2
1161,2,2
1161,2,2
1161,2,2
1161,2,2
1161,2,2
1161,2,2
1161,2,2
1161,2,2
1161,0,2
605,2,2
605,1,0
605,2,2
605,2,2
605,2,2
605,2,2
605,2,2
605,2,2
605,2,2
605,2,2
605,2,2
605,2,2
1311,2,2
1311,2,2
1311,2,2
1311,0,0
1311,2,2
1311,2,2
1311,2,2
1311,2,2
1311,2,2
1311,2,2
1311,2,2
1311,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
470,2,2
617,2,2
617,2,0
617,2,2
617,2,2
617,2,2
617,0,2
617,2,2
617,2,2
617,2,2
617,2,2
617,2,2
617,0,0
1409,2,2
1409,2,0
1409,2,2
1409,2,2
1409,2,2
1409,2,2
1409,1,1
1409,2,2
1409,2,2
1409,2,2
1409,2,2
1409,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,1,1
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
719,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
860,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,2,2
449,0,0
490,2,2
490,0,0
490,2,2
490,2,2
490,2,2
490,2,2
490,2,2
490,2,2
490,2,2
